2024-02-01 17:34:37.373 [main] INFO  com.boot.es.EsApplication - Starting EsApplication using Java 17.0.6 on aurora with PID 29424 (D:\project\code\self_util_plugin\scaffold\muti-scaffold\boot-es\target\classes started by yuez in D:\project\code\self_util_plugin\scaffold\muti-scaffold)
2024-02-01 17:34:37.378 [main] INFO  com.boot.es.EsApplication - The following profiles are active: elasticsearch,dev
2024-02-01 17:34:38.080 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2024-02-01 17:34:38.083 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-02-01 17:34:38.106 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2024-02-01 17:34:38.712 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9091 (http)
2024-02-01 17:34:38.721 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9091"]
2024-02-01 17:34:38.721 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-02-01 17:34:38.721 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.43]
2024-02-01 17:34:38.813 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-02-01 17:34:38.814 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1397 ms
2024-02-01 17:34:38.872 [main] INFO  com.boot.es.common.GlobalObject - elasticsearch信息初始化成功
2024-02-01 17:34:39.264 [main] INFO  com.boot.es.util.ElasticsearchUtils -  es init data org.elasticsearch.client.RestHighLevelClient@37f41a81
2024-02-01 17:34:39.264 [main] INFO  com.boot.es.util.ElasticsearchUtils - Elasticsearch初始化配置注入成功！
2024-02-01 17:34:39.720 [main] INFO  com.boot.es.config.ESConfig - 通用-集群状态:{"cluster_name":"cluster_wiscom","status":"yellow","timed_out":false,"number_of_nodes":1,"number_of_data_nodes":1,"active_primary_shards":1040,"active_shards":1040,"relocating_shards":0,"initializing_shards":0,"unassigned_shards":34,"delayed_unassigned_shards":0,"number_of_pending_tasks":0,"number_of_in_flight_fetch":0,"task_max_waiting_in_queue_millis":0,"active_shards_percent_as_number":96.8342644320298}
2024-02-01 17:34:39.979 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2024-02-01 17:34:40.030 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2024-02-01 17:34:40.471 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9091"]
2024-02-01 17:34:40.483 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9091 (http) with context path ''
2024-02-01 17:34:40.751 [main] INFO  com.boot.es.EsApplication - Started EsApplication in 3.827 seconds (JVM running for 5.297)
2024-02-01 17:34:40.752 [main] INFO  com.boot.es.EsApplication - 启动成功
2024-02-01 17:34:59.341 [http-nio-9091-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-02-01 17:34:59.342 [http-nio-9091-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-02-01 17:34:59.343 [http-nio-9091-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-02-01 17:40:33.999 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
